# MISSION PROFILE DATA
# Timestamp: 2026-06-25 16:50:17
# Deep Target: 2.50 m
# Shallow Target: 0.55 m
# Profile Count: 2
# Deep Tolerance: 0.33 m
# Shallow Tolerance: 0.10 m
# Hold Duration: 30 s
# PID: P=95.00, I=0.00, D=1300.00
# Neutral ADC: 1850
# Bounds: 200 to 3900
# Depth Offset: 0.000 m
# ------------------------------------------
Time (s),Depth (m),Pressure (kPa),Actuator (ADC),Target (ADC),State
0.00,0.000,101.33,1809,1850,2
0.00,0.000,101.33,1809,1806,2
0.15,-0.000,101.32,1809,1806,2
0.34,0.000,101.33,1807,200,2
0.34,0.001,101.33,1769,1612,2
0.36,0.001,101.33,1745,1612,2
0.46,0.001,101.33,1718,1626,2
0.56,0.001,101.33,1694,1613,2
0.67,0.002,101.35,1667,1613,2
0.86,0.002,101.35,1645,1626,2
0.90,0.003,101.36,1635,1613,2
1.03,0.003,101.36,1628,1613,2
1.07,0.005,101.37,1628,1626,2
1.18,0.006,101.38,1628,1639,2
1.26,0.006,101.38,1628,1626,2
1.36,0.008,101.40,1628,1613,2
1.46,0.009,101.41,1628,1639,2
1.57,0.011,101.43,1628,1626,2
1.67,0.012,101.45,1628,1640,2
1.87,0.015,101.47,1628,1627,2
2.01,0.018,101.50,1628,1614,2
2.01,0.018,101.51,1628,1653,2
2.07,0.020,101.53,1628,1614,2
2.18,0.022,101.55,1628,1679,2
2.28,0.026,101.58,1639,1641,2
2.36,0.027,101.59,1657,1667,2
2.46,0.030,101.63,1663,1628,2
2.57,0.032,101.65,1663,1654,2
2.67,0.035,101.68,1663,1642,2
2.85,0.040,101.73,1664,1655,2
3.02,0.045,101.78,1663,1616,2
3.02,0.045,101.78,1663,1681,2
3.06,0.046,101.79,1663,1616,2
3.16,0.051,101.83,1663,1695,2
3.27,0.053,101.86,1663,1682,2
3.37,0.057,101.90,1663,1644,2
3.47,0.061,101.94,1663,1670,2
3.58,0.065,101.98,1663,1670,2
3.66,0.067,102.00,1663,1671,2
3.83,0.075,102.08,1663,1645,2
4.01,0.077,102.10,1664,1619,2
4.02,0.082,102.16,1668,1750,2
4.06,0.084,102.17,1687,1620,2
4.16,0.089,102.22,1690,1711,2
4.27,0.092,102.25,1690,1686,2
4.37,0.098,102.31,1697,1660,2
4.47,0.101,102.34,1698,1700,2
4.58,0.106,102.40,1698,1661,2
4.66,0.110,102.43,1698,1688,2
4.83,0.118,102.51,1698,1675,2
5.03,0.126,102.60,1698,1623,2
5.03,0.127,102.60,1689,1728,2
5.07,0.129,102.62,1694,1624,2
5.17,0.134,102.68,1694,1768,2
5.27,0.139,102.72,1701,1690,2
5.38,0.144,102.78,1716,1691,2
5.48,0.148,102.82,1722,1691,2
5.56,0.153,102.87,1721,1679,2
5.67,0.158,102.92,1722,1692,2
5.86,0.168,103.02,1722,1693,2
6.03,0.177,103.11,1721,1628,2
6.03,0.178,103.12,1714,1758,2
6.07,0.180,103.14,1712,1628,2
6.17,0.185,103.19,1706,1786,2
6.27,0.191,103.25,1718,1695,2
6.36,0.194,103.29,1738,1709,2
6.46,0.200,103.34,1746,1670,2
6.56,0.206,103.40,1741,1710,2
6.67,0.211,103.46,1724,1710,2
6.84,0.221,103.55,1707,1698,2
7.02,0.224,103.58,1693,1633,2
7.02,0.232,103.66,1673,1763,2
7.06,0.233,103.68,1681,1673,2
7.17,0.240,103.74,1704,1752,2
7.27,0.245,103.80,1732,1726,2
7.37,0.251,103.86,1744,1701,2
7.47,0.257,103.91,1747,1714,2
7.58,0.263,103.97,1747,1715,2
7.66,0.268,104.03,1747,1715,2
7.87,0.279,104.14,1747,1703,2
8.03,0.282,104.17,1747,1638,2
8.03,0.290,104.25,1738,1782,2
8.07,0.292,104.27,1740,1678,2
8.18,0.299,104.34,1733,1770,2
8.28,0.304,104.39,1746,1732,2
8.36,0.309,104.44,1761,1706,2
8.47,0.315,104.51,1759,1707,2
8.57,0.321,104.57,1743,1720,2
8.67,0.327,104.63,1728,1721,2
8.82,0.337,104.73,1719,1722,2
8.88,0.339,104.75,1710,1644,2
9.01,0.349,104.84,1688,1801,2
9.07,0.353,104.88,1694,1645,2
9.17,0.359,104.94,1694,1828,2
9.28,0.365,105.01,1694,1725,2
9.36,0.371,105.06,1711,1725,2
9.46,0.377,105.13,1720,1726,2
9.57,0.383,105.19,1720,1726,2
9.67,0.390,105.26,1720,1727,2
9.84,0.400,105.37,1721,1741,2
10.00,0.412,105.48,1721,1650,2
10.01,0.411,105.47,1710,1781,2
10.07,0.415,105.52,1712,1651,2
10.17,0.422,105.58,1710,1847,2
10.27,0.429,105.65,1720,1744,2
10.38,0.436,105.72,1728,1744,2
10.48,0.443,105.80,1752,1745,2
10.56,0.447,105.84,1758,1746,2
10.66,0.455,105.92,1759,1707,2
10.82,0.466,106.03,1750,1760,2
11.00,0.476,106.13,1727,1656,2
11.01,0.478,106.15,1708,1800,2
11.06,0.482,106.19,1711,1657,2
11.17,0.488,106.25,1707,1866,2
11.27,0.495,106.32,1717,1737,2
11.37,0.502,106.39,1715,1751,2
11.48,0.509,106.46,1715,1751,2
11.58,0.516,106.53,1715,1752,2
11.66,0.521,106.58,1715,1753,2
11.83,0.532,106.70,1715,1727,2
11.88,0.537,106.74,1713,1662,2
12.01,0.545,106.82,1702,1872,2
12.07,0.550,106.87,1706,1664,2
12.17,0.556,106.94,1710,1834,2
12.28,0.564,107.01,1722,1743,2
12.38,0.571,107.09,1720,1770,2
12.46,0.577,107.15,1744,1758,2
12.57,0.584,107.22,1746,1745,2
12.67,0.591,107.29,1746,1759,2
12.85,0.603,107.41,1746,1760,2
13.04,0.616,107.55,1746,1669,2
13.04,0.616,107.54,1731,1826,2
13.06,0.618,107.56,1739,1670,2
13.16,0.625,107.63,1735,1866,2
13.27,0.633,107.71,1739,1763,2
13.37,0.641,107.79,1752,1777,2
13.47,0.647,107.86,1760,1777,2
13.58,0.654,107.93,1763,1752,2
13.68,0.661,107.99,1761,1766,2
13.85,0.672,108.10,1762,1766,2
13.99,0.683,108.22,1762,1675,2
13.99,0.683,108.22,1753,1819,2
14.07,0.689,108.28,1758,1676,2
14.17,0.695,108.33,1752,1899,2
14.28,0.703,108.42,1767,1757,2
14.38,0.710,108.49,1788,1783,2
14.46,0.716,108.55,1799,1771,2
14.57,0.723,108.62,1801,1759,2
14.67,0.730,108.69,1801,1772,2
14.85,0.743,108.82,1800,1773,2
14.92,0.747,108.87,1801,1682,2
15.07,0.757,108.96,1789,1852,2
15.07,0.757,108.97,1794,1735,2
15.17,0.764,109.03,1792,1814,2
15.27,0.771,109.10,1794,1776,2
15.37,0.777,109.17,1811,1777,2
15.48,0.784,109.24,1815,1764,2
15.58,0.791,109.31,1815,1778,2
15.66,0.797,109.36,1804,1779,2
15.83,0.807,109.47,1788,1766,2
15.89,0.812,109.52,1762,1688,2
16.03,0.821,109.61,1739,1885,2
16.07,0.823,109.63,1745,1690,2
16.17,0.830,109.70,1746,1834,2
16.27,0.837,109.77,1749,1782,2
16.38,0.844,109.84,1754,1783,2
16.48,0.850,109.90,1773,1784,2
16.56,0.855,109.96,1776,1771,2
16.66,0.863,110.03,1777,1759,2
16.85,0.873,110.14,1777,1798,2
17.03,0.879,110.19,1777,1694,2
17.03,0.886,110.27,1771,1825,2
17.07,0.889,110.29,1776,1774,2
17.18,0.896,110.36,1793,1827,2
17.28,0.903,110.44,1799,1789,2
17.36,0.908,110.49,1800,1789,2
17.47,0.914,110.55,1800,1764,2
17.57,0.921,110.62,1800,1777,2
17.67,0.928,110.69,1800,1791,2
17.84,0.936,110.77,1800,1792,2
18.02,0.941,110.82,1800,1701,2
18.02,0.950,110.91,1787,1805,2
18.08,0.954,110.95,1767,1767,2
18.16,0.959,111.01,1757,1872,2
18.27,0.967,111.08,1771,1769,2
18.37,0.972,111.14,1794,1808,2
18.47,0.979,111.20,1804,1770,2
18.58,0.986,111.27,1806,1797,2
18.68,0.991,111.32,1806,1797,2
18.83,1.002,111.44,1805,1772,2
19.02,1.005,111.46,1805,1707,2
19.02,1.013,111.54,1802,1851,2
19.06,1.016,111.58,1800,1747,2
19.17,1.022,111.64,1799,1852,2
19.27,1.028,111.70,1805,1788,2
19.37,1.035,111.76,1822,1788,2
19.48,1.040,111.82,1830,1802,2
19.58,1.047,111.89,1830,1776,2
19.68,1.053,111.95,1826,1803,2
19.82,1.061,112.04,1811,1791,2
19.89,1.066,112.08,1799,1713,2
20.01,1.074,112.16,1777,1883,2
20.08,1.077,112.19,1781,1714,2
20.18,1.083,112.26,1779,1858,2
20.26,1.088,112.31,1789,1793,2
20.37,1.094,112.37,1807,1781,2
20.47,1.101,112.43,1815,1794,2
20.57,1.107,112.49,1815,1808,2
20.68,1.113,112.56,1816,1796,2
20.81,1.120,112.63,1815,1796,2
20.97,1.129,112.72,1815,1718,2
20.97,1.130,112.73,1803,1810,2
21.07,1.136,112.79,1787,1850,2
21.17,1.142,112.84,1794,1798,2
21.28,1.147,112.89,1810,1799,2
21.38,1.154,112.97,1816,1786,2
21.46,1.158,113.01,1817,1813,2
21.57,1.165,113.08,1817,1775,2
21.67,1.170,113.14,1817,1814,2
21.84,1.179,113.22,1817,1789,2
21.88,1.182,113.25,1816,1724,2
22.02,1.190,113.33,1812,1881,2
22.08,1.194,113.37,1807,1725,2
22.18,1.199,113.43,1806,1882,2
22.27,1.205,113.48,1815,1791,2
22.37,1.209,113.52,1833,1805,2
22.47,1.215,113.59,1840,1779,2
22.58,1.221,113.65,1839,1806,2
22.68,1.226,113.70,1822,1806,2
22.83,1.234,113.78,1818,1794,2
22.88,1.237,113.81,1814,1729,2
23.00,1.244,113.88,1794,1873,2
23.08,1.248,113.92,1793,1730,2
23.18,1.254,113.98,1797,1874,2
23.28,1.260,114.04,1803,1810,2
23.37,1.264,114.08,1819,1810,2
23.47,1.268,114.13,1827,1785,2
23.57,1.275,114.19,1828,1785,2
23.68,1.281,114.25,1828,1825,2
23.99,1.289,114.34,1828,1812,2
24.00,1.297,114.42,1827,1734,2
24.00,1.298,114.42,1815,1839,2
24.08,1.302,114.46,1792,1735,2
24.18,1.308,114.52,1770,1905,2
24.28,1.313,114.57,1776,1815,2
24.37,1.317,114.61,1784,1802,2
24.47,1.321,114.66,1792,1790,2
24.57,1.328,114.72,1792,1790,2
24.68,1.333,114.78,1793,1830,2
24.82,1.341,114.86,1792,1804,2
24.99,1.349,114.94,1792,1739,2
24.99,1.350,114.95,1783,1844,2
25.08,1.355,114.99,1790,1740,2
25.18,1.359,115.04,1783,1923,2
25.28,1.366,115.10,1798,1794,2
25.37,1.370,115.15,1822,1833,2
25.47,1.374,115.19,1835,1795,2
25.57,1.381,115.26,1836,1795,2
25.68,1.386,115.31,1835,1835,2
25.84,1.393,115.39,1836,1809,2
26.02,1.403,115.48,1836,1744,2
26.02,1.404,115.49,1824,1836,2
26.08,1.406,115.52,1801,1745,2
26.17,1.411,115.57,1774,1915,2
26.27,1.416,115.62,1789,1812,2
26.37,1.422,115.67,1789,1812,2
26.47,1.426,115.72,1811,1826,2
26.58,1.431,115.77,1822,1800,2
26.68,1.436,115.82,1824,1813,2
26.83,1.444,115.90,1824,1814,2
27.02,1.454,115.99,1823,1749,2
27.02,1.455,116.00,1820,1854,2
27.08,1.458,116.04,1818,1750,2
27.18,1.462,116.08,1816,1933,2
27.28,1.467,116.13,1825,1803,2
27.37,1.471,116.17,1848,1817,2
27.47,1.476,116.22,1856,1804,2
27.57,1.481,116.27,1857,1818,2
27.68,1.485,116.31,1850,1818,2
27.84,1.493,116.39,1825,1806,2
27.99,1.495,116.41,1816,1754,2
27.99,1.501,116.47,1798,1885,2
28.07,1.506,116.52,1801,1833,2
28.17,1.510,116.56,1819,1821,2
28.28,1.515,116.61,1830,1808,2
28.38,1.521,116.67,1835,1821,2
28.48,1.526,116.73,1834,1835,2
28.57,1.528,116.75,1834,1822,2
28.67,1.535,116.81,1834,1784,2
28.84,1.541,116.88,1834,1849,2
28.89,1.544,116.90,1834,1758,2
29.01,1.550,116.96,1828,1876,2
29.08,1.553,116.99,1831,1759,2
29.18,1.558,117.04,1830,1877,2
29.28,1.563,117.10,1836,1826,2
29.37,1.566,117.13,1848,1826,2
29.47,1.570,117.17,1854,1800,2
29.57,1.575,117.22,1850,1814,2
29.67,1.580,117.27,1834,1827,2
29.85,1.587,117.34,1820,1828,2
29.89,1.591,117.38,1810,1763,2
30.01,1.595,117.42,1791,1907,2
30.08,1.599,117.46,1792,1764,2
30.18,1.603,117.50,1791,1868,2
30.28,1.608,117.55,1796,1817,2
30.39,1.614,117.61,1802,1830,2
30.47,1.616,117.63,1801,1844,2
30.57,1.621,117.68,1801,1792,2
30.68,1.626,117.74,1802,1831,2
30.87,1.633,117.81,1801,1832,2
31.00,1.635,117.83,1801,1767,2
31.00,1.640,117.87,1804,1885,2
31.08,1.644,117.91,1826,1768,2
31.18,1.649,117.96,1829,1886,2
31.29,1.653,118.00,1828,1834,2
31.37,1.657,118.05,1845,1822,2
31.47,1.663,118.10,1850,1822,2
31.58,1.666,118.14,1851,1848,2
31.68,1.671,118.19,1850,1810,2
31.83,1.678,118.26,1850,1836,2
31.89,1.680,118.28,1851,1771,2
32.03,1.686,118.33,1848,1889,2
32.07,1.689,118.36,1848,1772,2
32.17,1.692,118.40,1842,1890,2
32.27,1.696,118.44,1840,1812,2
32.37,1.701,118.49,1838,1826,2
32.47,1.705,118.53,1822,1839,2
32.58,1.709,118.57,1817,1826,2
32.68,1.713,118.61,1816,1827,2
32.83,1.719,118.67,1817,1827,2
32.88,1.723,118.71,1817,1775,2
33.00,1.727,118.75,1816,1906,2
33.09,1.731,118.80,1826,1776,2
33.17,1.735,118.83,1820,1881,2
33.27,1.739,118.87,1830,1829,2
33.37,1.744,118.92,1847,1830,2
33.48,1.747,118.96,1853,1843,2
33.58,1.751,119.00,1854,1817,2
33.69,1.756,119.05,1854,1831,2
33.83,1.763,119.11,1853,1844,2
34.01,1.764,119.13,1855,1779,2
34.01,1.770,119.18,1851,1884,2
34.08,1.772,119.20,1851,1780,2
34.18,1.776,119.25,1847,1885,2
34.28,1.781,119.30,1852,1833,2
34.38,1.784,119.33,1865,1847,2
34.47,1.787,119.36,1868,1821,2
34.57,1.792,119.41,1867,1821,2
34.67,1.795,119.44,1867,1848,2
34.85,1.803,119.51,1867,1822,2
34.88,1.804,119.52,1868,1783,2
35.01,1.807,119.56,1863,1901,2
35.07,1.811,119.60,1861,1784,2
35.18,1.815,119.64,1856,1876,2
35.28,1.819,119.68,1835,1837,2
35.38,1.822,119.71,1826,1837,2
35.49,1.826,119.75,1826,1825,2
35.57,1.829,119.78,1825,1838,2
35.67,1.833,119.82,1825,1825,2
35.84,1.839,119.88,1824,1839,2
35.89,1.841,119.90,1825,1787,2
36.01,1.845,119.95,1825,1891,2
36.07,1.848,119.98,1834,1787,2
36.18,1.853,120.02,1830,1879,2
36.28,1.855,120.04,1833,1854,2
36.38,1.859,120.09,1836,1815,2
36.48,1.863,120.12,1836,1841,2
36.59,1.866,120.16,1835,1841,2
36.67,1.869,120.19,1836,1829,2
36.85,1.874,120.24,1836,1829,2
36.98,1.881,120.30,1836,1790,2
36.98,1.880,120.30,1835,1856,2
37.08,1.884,120.33,1836,1869,2
37.18,1.888,120.37,1835,1843,2
37.28,1.892,120.42,1835,1844,2
37.39,1.894,120.44,1835,1844,2
37.47,1.899,120.49,1835,1818,2
37.57,1.902,120.52,1835,1858,2
37.68,1.905,120.55,1835,1832,2
37.85,1.910,120.60,1836,1832,2
37.98,1.916,120.66,1835,1793,2
37.98,1.916,120.66,1836,1859,2
38.09,1.920,120.70,1836,1873,2
38.17,1.922,120.72,1835,1847,2
38.27,1.925,120.75,1836,1821,2
38.37,1.930,120.80,1836,1834,2
38.48,1.933,120.83,1836,1861,2
38.58,1.938,120.88,1835,1835,2
38.68,1.941,120.91,1836,1862,2
38.84,1.946,120.96,1836,1836,2
38.87,1.947,120.97,1836,1797,2
39.00,1.953,121.03,1835,1875,2
39.09,1.955,121.05,1836,1797,2
39.19,1.959,121.09,1844,1902,2
39.27,1.961,121.12,1863,1851,2
39.37,1.964,121.15,1880,1825,2
39.48,1.968,121.18,1881,1838,2
39.58,1.970,121.20,1872,1851,2
39.68,1.974,121.25,1859,1826,2
39.83,1.979,121.29,1847,1852,2
39.99,1.984,121.35,1845,1800,2
39.99,1.984,121.35,1845,1866,2
40.08,1.987,121.38,1846,1866,2
40.18,1.992,121.42,1845,1840,2
40.28,1.994,121.45,1845,1867,2
40.39,1.997,121.47,1845,1828,2
40.49,2.001,121.52,1846,1841,2
40.57,2.004,121.55,1846,1855,2
40.67,2.007,121.57,1846,1842,2
40.83,2.011,121.62,1846,1842,2
40.88,2.014,121.65,1846,1803,2
41.01,2.017,121.68,1845,1895,2
41.07,2.019,121.70,1845,1804,2
41.18,2.022,121.73,1845,1869,2
41.28,2.025,121.76,1846,1844,2
41.38,2.029,121.80,1846,1844,2
41.49,2.033,121.84,1846,1857,2
41.59,2.034,121.85,1846,1858,2
41.67,2.038,121.89,1845,1819,2
41.86,2.043,121.94,1846,1858,2
41.98,2.047,121.99,1845,1806,2
41.98,2.046,121.97,1846,1872,2
42.08,2.051,122.03,1846,1846,2
42.18,2.053,122.04,1846,1872,2
42.29,2.056,122.07,1846,1834,2
42.39,2.059,122.10,1846,1847,2
42.47,2.062,122.13,1846,1847,2
42.57,2.065,122.16,1846,1847,2
42.68,2.068,122.19,1845,1848,2
42.84,2.072,122.24,1846,1848,2
42.89,2.074,122.26,1845,1809,2
43.01,2.078,122.29,1846,1888,2
43.07,2.080,122.31,1846,1810,2
43.17,2.082,122.33,1845,1888,2
43.28,2.085,122.37,1846,1836,2
43.38,2.088,122.39,1845,1850,2
43.48,2.090,122.42,1845,1850,2
43.59,2.094,122.46,1845,1837,2
43.69,2.097,122.48,1846,1863,2
43.83,2.102,122.53,1846,1851,2
44.00,2.106,122.58,1845,1812,2
